postId,district,platform,content,sentiment,reach,timeStamp
S0001,Imphal East,Facebook,People in Imphal East complaining about dirty water and cases of Hepatitis A.,Neutral,Low,2025-09-07T22:40:26
S0002,Mokokchung,Twitter,Is the water safe in Mokokchung? Many have symptoms like Muscle cramps.,Positive,Medium,2025-09-10T22:09:26
S0003,Kamrup,Facebook,"🚨 Outbreak alert! Many people in Kamrup are suffering from Typhoid, showing Headache.",Positive,Low,2025-09-25T19:11:26
S0004,Shillong,Twitter,People in Shillong complaining about dirty water and cases of Typhoid.,Negative,High,2025-09-07T03:04:26
S0005,Ri-Bhoi,Whatsapp,People in Ri-Bhoi complaining about dirty water and cases of Typhoid.,Negative,Low,2025-09-17T18:47:26
S0006,Imphal West,Facebook,Shortage of Probiotics reported in Imphal West pharmacies.,Negative,Medium,2025-08-31T15:22:26
S0007,East Khasi Hills,News,Is the water safe in East Khasi Hills? Many have symptoms like Stomach cramps.,Negative,Low,2025-09-01T01:10:26
S0008,Kohima,Whatsapp,Rumors spreading on WhatsApp in Kohima about unsafe drinking water.,Negative,Low,2025-09-26T16:27:26
S0009,Imphal West,Forum,Is the water safe in Imphal West? Many have symptoms like Fever.,Negative,Medium,2025-08-30T10:14:26
S0010,West Khasi Hills,Twitter,Hospitals in West Khasi Hills are seeing more patients with Hepatitis A.,Negative,Low,2025-09-14T04:26:26
S0011,Dibrugarh,Forum,Is the water safe in Dibrugarh? Many have symptoms like Bloody diarrhea.,Neutral,Medium,2025-08-30T05:50:26
S0012,Imphal West,News,Awareness camp in Imphal West about preventing Dysentery.,Positive,Low,2025-08-30T05:19:26
S0013,West Khasi Hills,Facebook,People in West Khasi Hills complaining about dirty water and cases of Diarrhea.,Positive,Medium,2025-09-16T19:47:26
S0014,Aizawl,Facebook,People in Aizawl complaining about dirty water and cases of Cholera.,Positive,High,2025-08-31T23:14:26
S0015,Sonitpur,Facebook,Shortage of ORS reported in Sonitpur pharmacies.,Neutral,Medium,2025-09-08T02:28:26
S0016,Barpeta,Facebook,Rumors spreading on WhatsApp in Barpeta about unsafe drinking water.,Positive,Medium,2025-09-15T16:38:26
S0017,Aizawl,Forum,Hospitals in Aizawl are seeing more patients with Cholera.,Positive,High,2025-09-20T08:20:26
S0018,Kamrup,News,Rumors spreading on WhatsApp in Kamrup about unsafe drinking water.,Neutral,Low,2025-09-23T08:08:26
S0019,Aizawl,Whatsapp,Rumors spreading on WhatsApp in Aizawl about unsafe drinking water.,Neutral,Medium,2025-09-23T14:56:26
S0020,Shillong,Forum,Shortage of Electrolyte Powder reported in Shillong pharmacies.,Positive,Medium,2025-09-23T23:35:26
S0021,Jorhat,Forum,People in Jorhat complaining about dirty water and cases of Dysentery.,Positive,High,2025-09-11T16:01:26
